valor,prediccion,valor_real,error,error_promedio,desviacion_estandar,error_relativo_porcentual
0,6.7702928,42.756,-35.98570724105835,37.27121322536468,38.59378018506151,84.16528029062201
0,99.66707,39.84,59.82706848144531,37.27121322536468,38.59378018506151,150.16834458194103
0,90.3371,39.708,50.62909716796875,37.27121322536468,38.59378018506151,127.5035186057438
0,43.33498,40.692,2.642980010986328,37.27121322536468,38.59378018506151,6.49508505599707
1,6.8721905,39.84,-32.967809524536136,36.78043126296997,37.03294610170538,82.75052591500034
1,99.61475,39.708,59.90675372314453,36.78043126296997,37.03294610170538,150.86822233087673
1,90.02458,40.692,49.33258190917969,36.78043126296997,37.03294610170538,121.234104760591
1,43.98658,39.072,4.9145798950195285,36.78043126296997,37.03294610170538,12.578265497081102
2,7.043597,39.708,-32.66440277862549,37.03603510475158,36.773377368412504,82.26151601346199
2,99.529915,40.692,58.83791485595703,37.03603510475158,36.773377368412504,144.5933226579107
2,89.64947,39.072,50.577467468261716,37.03603510475158,36.773377368412504,129.44683524841756
2,45.124355,39.06,6.064355316162107,37.03603510475158,36.773377368412504,15.52574325694344
3,7.060044,40.692,-33.631956188201904,38.65326734447479,37.21737581365529,82.65004469724246
3,99.528046,39.072,60.45604565429687,38.65326734447479,37.21737581365529,154.7298465763126
3,89.697975,39.06,50.637975158691404,38.65326734447479,37.21737581365529,129.64151346311164
3,45.311092,35.424,9.887092376708985,38.65326734447479,37.21737581365529,27.910716962254362
4,6.9915385,39.072,-32.08046147537232,39.2539655046463,37.419765013093304,82.10601319454422
4,99.56479,39.06,60.50478881835937,39.2539655046463,37.419765013093304,154.9021731140793
4,89.8972,35.424,54.47320153808594,39.2539655046463,37.419765013093304,153.77484625701769
4,44.91341,34.956,9.957410186767575,39.2539655046463,37.419765013093304,28.485553801257506
5,7.0759187,39.06,-31.984081325531008,40.245208540916444,38.34441856963223,81.88448880064261
5,99.518265,35.424,64.0942647705078,40.245208540916444,38.34441856963223,180.9345776041887
5,89.73234,34.956,54.77633795166015,40.245208540916444,38.34441856963223,156.70081803312777
5,45.44215,35.316,10.126150115966794,40.245208540916444,38.34441856963223,28.67298141342959
6,7.076877,35.424,-28.347122882843017,41.779577252387995,36.332916830359736,80.02236586168422
