yval,predicciones,error
"[9.48, 10.056, 9.66, 11.748, 15.396, 14.628, 16.368, 18.144, 19.644, 20.556, 19.284, 20.268, 21.096, 21.096, 14.472, 11.268, 11.556, 10.704, 11.784, 10.98, 10.572, 11.256, 11.292, 11.808]","[11.418333, 10.849062, 10.969838, 11.007232, 11.032101, 10.455376, 10.4488, 10.483029, 10.531579, 10.430597, 10.133343, 10.102219, 9.824211, 9.548918, 10.01852, 10.090131, 9.648512, 9.962278, 10.137096, 9.936528, 9.911634, 10.0834, 10.349098, 10.298187]","[1.9383330535888668, 0.7930619659423837, 1.3098381423950194, -0.7407682876586907, -4.363899322509766, -4.172624328613281, -5.919199913024901, -7.660970634460448, -9.112420982360838, -10.12540269470215, -9.150657257080077, -10.165781372070313, -11.271788879394531, -11.547082229614258, -4.45347964477539, -1.1778691940307624, -1.9074881134033195, -0.7417216339111334, -1.6469035949707038, -1.0434717941284184, -0.6603655548095695, -1.1726002273559573, -0.9429017944335936, -1.5098127441406248]"
"[10.056, 9.66, 11.748, 15.396, 14.628, 16.368, 18.144, 19.644, 20.556, 19.284, 20.268, 21.096, 21.096, 14.472, 11.268, 11.556, 10.704, 11.784, 10.98, 10.572, 11.256, 11.292, 11.808, 12.108]","[10.382761, 9.973998, 10.075704, 9.974675, 9.982947, 9.757786, 9.755468, 9.661827, 9.71467, 9.747033, 9.50795, 9.365501, 9.20916, 8.980824, 9.528643, 9.40915, 9.207702, 9.701821, 9.784477, 9.597835, 9.582999, 9.758645, 9.905952, 10.011902]","[0.3267610015869149, 0.31399806976318345, -1.6722963790893548, -5.421324821472169, -4.64505265045166, -6.610214202880858, -8.388531631469725, -9.982172912597655, -10.841329818725587, -9.536966880798339, -10.760050170898438, -11.730498596191406, -11.886840148925781, -5.49117552947998, -1.7393573455810554, -2.1468498764038078, -1.496298316955567, -2.082178672790528, -1.1955227661132817, -0.9741654129028312, -1.6730007705688479, -1.5333549423217772, -1.9020475463867186, -2.0960981445312505]"
"[9.66, 11.748, 15.396, 14.628, 16.368, 18.144, 19.644, 20.556, 19.284, 20.268, 21.096, 21.096, 14.472, 11.268, 11.556, 10.704, 11.784, 10.98, 10.572, 11.256, 11.292, 11.808, 12.108, 11.892]","[10.330357, 9.885333, 10.033135, 9.997986, 9.92632, 9.768078, 9.704907, 9.694743, 9.76798, 9.754259, 9.52296, 9.299321, 9.281122, 9.067203, 9.64672, 9.569826, 9.347819, 9.845982, 10.03291, 9.755496, 9.795557, 9.941972, 9.978909, 10.220791]","[0.6703565979003905, -1.8626669387817376, -5.362864585876466, -4.63001416015625, -6.441679924011229, -8.375922149658201, -9.939092582702635, -10.861256843566895, -9.516020378112792, -10.51374089050293, -11.57304029083252, -11.796678825378418, -5.190877792358398, -2.2007974319458015, -1.9092800674438468, -1.1341738739013678, -2.4361806716918952, -1.1340184020996098, -0.5390896530151359, -1.500503974914551, -1.4964429779052733, -1.866028221130371, -2.129091461181641, -1.67120913696289]"
"[11.748, 15.396, 14.628, 16.368, 18.144, 19.644, 20.556, 19.284, 20.268, 21.096, 21.096, 14.472, 11.268, 11.556, 10.704, 11.784, 10.98, 10.572, 11.256, 11.292, 11.808, 12.108, 11.892, 11.292]","[10.221909, 9.810208, 9.932358, 9.856076, 9.814309, 9.666964, 9.627327, 9.577464, 9.646817, 9.662006, 9.451085, 9.229182, 9.192598, 8.98542, 9.541352, 9.436564, 9.254721, 9.746805, 9.910533, 9.680679, 9.693781, 9.836834, 9.884555, 10.110898]","[-1.5260914306640618, -5.585791679382325, -4.695642211914063, -6.511923759460448, -8.329690879821776, -9.97703642272949, -10.92867303466797, -9.706535896301268, -10.621182792663575, -11.433993621826172, -11.644914909362793, -5.242817756652832, -2.075401657104493, -2.570579772949218, -1.1626477279663092, -2.3474355545043952, -1.7252793121337895, -0.8251948089599601, -1.3454670486450198, -1.6113206787109373, -2.1142191009521483, -2.2711660461425787, -2.0074451370239252, -1.181101982116699]"
"[15.396, 14.628, 16.368, 18.144, 19.644, 20.556, 19.284, 20.268, 21.096, 21.096, 14.472, 11.268, 11.556, 10.704, 11.784, 10.98, 10.572, 11.256, 11.292, 11.808, 12.108, 11.892, 11.292, 11.04]","[11.02547, 10.488641, 10.6292, 10.730025, 10.663178, 10.272127, 10.182694, 10.333783, 10.410143, 10.304875, 10.059156, 9.848869, 9.876713, 9.671695, 10.10684, 10.246163, 9.834383, 10.150366, 10.499955, 10.211318, 10.220671, 10.351248, 10.361113, 10.612202]","[-4.370530220031739, -4.139359214782715, -5.738800018310545, -7.413974708557127, -8.980821556091307, -10.283872848510743, -9.10130556488037, -9.934216850280762, -10.68585710144043, -10.791124626159668, -4.41284358215332, -1.419130676269532, -1.6792872009277335, -1.0323052444458014, -1.6771598663330085, -0.7338366317749028, -0.7376169891357414, -1.1056341705322268, -0.7920448226928709, -1.5966819839477537, -1.8873292999267584, -1.5407522125244135, -0.9308874053955076, -0.427798309326171]"
"[14.628, 16.368, 18.144, 19.644, 20.556, 19.284, 20.268, 21.096, 21.096, 14.472, 11.268, 11.556, 10.704, 11.784, 10.98, 10.572, 11.256, 11.292, 11.808, 12.108, 11.892, 11.292, 11.04, 11.328]","[12.549773, 12.053258, 11.964101, 12.117376, 12.231743, 11.356901, 11.58137, 11.847668, 11.80818, 11.735071, 11.295389, 11.347809, 11.048537, 11.159974, 10.867683, 11.288461, 10.402549, 10.836191, 11.027017, 10.901178, 10.464447, 10.910716, 10.837473, 11.02007]","[-2.0782267837524415, -4.3147420578002915, -6.179899162292479, -7.52662367248535, -8.324257141113282, -7.927098831176757, -8.68662964630127, -9.248332305908203, -9.28782014465332, -2.736928817749023, 0.02738917541503838, -0.20819116210937416, 0.34453725433349547, -0.6240259017944343, -0.11231658935546918, 0.7164607315063485, -0.8534512100219729, -0.45580882263183575, -0.7809833602905272, -1.206821640014649, -1.4275529785156245, -0.38128394317626935, -0.20252708435058508, -0.30792992401122987]"
"[16.368, 18.144, 19.644, 20.556, 19.284, 20.268, 21.096, 21.096, 14.472, 11.268, 11.556, 10.704, 11.784, 10.98, 10.572, 11.256, 11.292, 11.808, 12.108, 11.892, 11.292, 11.04, 11.328, 10.884]","[12.885283, 12.433562, 12.223712, 12.353554, 12.471379, 11.605253, 11.637777, 12.04296, 11.908618, 11.927312, 11.30108, 11.45033, 11.183004, 11.250642, 11.001664, 11.226906, 10.53736, 10.746104, 10.844248, 11.047938, 10.460971, 11.0388155, 10.973752, 11.132289]","[-3.48271652984619, -5.71043772125244, -7.420288032531737, -8.202446228027345, -6.812620719909667, -8.662746780395508, -9.45822267150879, -9.053039833068848, -2.563382026672363, 0.6593118972778313, -0.254920249938964, 0.7463297805786127, -0.6009956207275398, 0.270641822814941, 0.42966416168212973, -0.029094177246093977, -0.754639808654785, -1.0618957595825194, -1.2637521820068365, -0.8440616531372065, -0.8310291213989256, -0.001184501647948366, -0.3542479782104486, 0.24828893280029263]"
"[18.144, 19.644, 20.556, 19.284, 20.268, 21.096, 21.096, 14.472, 11.268, 11.556, 10.704, 11.784, 10.98, 10.572, 11.256, 11.292, 11.808, 12.108, 11.892, 11.292, 11.04, 11.328, 10.884, 12.168]","[12.968933, 12.4449215, 12.297559, 12.330254, 12.647797, 11.794329, 11.8622465, 12.4063425, 12.086619, 12.247918, 11.514876, 11.863456, 11.470855, 11.641103, 11.333445, 11.610804, 10.999583, 11.328053, 11.316965, 11.5611725, 10.903039, 11.728027, 11.659959, 11.739364]","[-5.175066894531248, -7.199078506469725, -8.258441215515138, -6.95374639892578, -7.620203369140626, -9.301671310424805, -9.2337534866333, -2.065657493591308, 0.8186193771362298, 0.691918128967286, 0.8108763656616205, 0.07945577239990165, 0.49085475921630817, 1.0691027908325204, 0.07744459533691384, 0.31880360412597675, -0.8084167556762694, -0.779946525573731, -0.5750348968505854, 0.2691724853515627, -0.136961021423339, 0.4000273437500006, 0.7759588394165036, -0.42863632965087817]"
"[19.644, 20.556, 19.284, 20.268, 21.096, 21.096, 14.472, 11.268, 11.556, 10.704, 11.784, 10.98, 10.572, 11.256, 11.292, 11.808, 12.108, 11.892, 11.292, 11.04, 11.328, 10.884, 12.168, 12.648]","[13.106321, 12.645871, 12.554458, 12.262245, 12.832126, 12.173973, 12.01752, 12.710501, 12.198977, 12.720545, 11.832802, 12.333377, 11.94665, 12.109115, 11.753506, 11.906132, 11.563201, 11.834217, 11.723979, 12.241033, 11.55929, 12.570926, 12.477878, 12.504197]","[-6.537678665161131, -7.91012883758545, -6.729542335510253, -8.005754821777344, -8.263874336242676, -8.922026916503906, -2.4544800491333003, 1.4425007171630853, 0.6429774703979501, 2.016544815063476, 0.048801818847655554, 1.3533768844604488, 1.3746495513916024, 0.8531146469116209, 0.46150570678710956, 0.0981317443847658, -0.544799049377442, -0.057782928466796335, 0.43197899627685565, 1.2010326004028329, 0.23128993225097716, 1.6869257125854489, 0.30987761688232496, -0.14380287933349578]"
"[20.556, 19.284, 20.268, 21.096, 21.096, 14.472, 11.268, 11.556, 10.704, 11.784, 10.98, 10.572, 11.256, 11.292, 11.808, 12.108, 11.892, 11.292, 11.04, 11.328, 10.884, 12.168, 12.648, 12.708]","[13.47484, 13.136469, 13.015853, 12.558655, 13.141855, 12.585791, 12.212058, 13.030766, 12.47602, 13.123984, 12.165274, 12.6209135, 12.389703, 12.501836, 12.091276, 12.17931, 11.888522, 12.021115, 12.043601, 12.595817, 12.0406275, 12.968171, 12.789583, 12.834181]","[-7.081159835815431, -6.147531112670897, -7.25214707183838, -8.53734521484375, -7.954144760131836, -1.886209365844726, 0.9440580673217767, 1.4747655334472665, 1.7720198593139642, 1.3399843368530266, 1.1852736663818355, 2.0489135055542, 1.133702796936035, 1.2098358230590822, 0.28327616882324236, 0.07130984497070258, -0.0034778518676752412, 0.729115303039551, 1.0036010360717782, 1.267816612243653, 1.1566274795532223, 0.8001711196899421, 0.14158320617675813, 0.1261808319091795]"
