valor,prediccion,valor_real,error,error_promedio,desviacion_estandar,diferencias_mayores_a_3,error_promedio_acumulativo,desviacion_estandar_acumulativa,error_relativo_porcentual
0,25.697657,22.344,3.3536566314697254,3.3536566314697254,0.0,1,3.3536566314697254,0.0,15.009204401493578
1,25.528648,23.004,2.5246483764648424,2.5246483764648424,0.0,0,2.5246483764648424,0.0,10.974823406645985
2,25.707668,23.352,2.355668304443359,2.355668304443359,0.0,0,2.355668304443359,0.0,10.087651183810205
3,25.778975,22.416,3.3629745330810543,3.3629745330810543,0.0,1,3.3629745330810543,0.0,15.002563049076794
4,25.646008,21.516,4.130007537841799,4.130007537841799,0.0,1,4.130007537841799,0.0,19.195052694933068
5,25.475122,21.78,3.6951224517822254,3.6951224517822254,0.0,1,3.6951224517822254,0.0,16.96566782269158
6,24.73769,22.092,2.6456899719238294,2.6456899719238294,0.0,0,2.6456899719238294,0.0,11.97578296181346
7,23.636045,24.432,-0.7959545440673814,0.7959545440673814,0.0,0,0.7959545440673814,0.0,3.2578362150760536
8,23.220776,26.04,-2.8192243957519523,2.8192243957519523,0.0,0,2.8192243957519523,0.0,10.8265145766204
9,23.760933,30.468,-6.707067077636719,6.707067077636719,0.0,1,6.707067077636719,0.0,22.013479971237754
10,25.41699,33.84,-8.423009719848636,8.423009719848636,0.0,1,8.423009719848636,0.0,24.890690661491238
11,28.808485,37.056,-8.247514968872068,8.247514968872068,0.0,1,8.247514968872068,0.0,22.256894885773068
12,33.568474,41.448,-7.879526184082032,7.879526184082032,0.0,1,7.879526184082032,0.0,19.0106306313502
13,40.929653,48.72,-7.7903468322753895,7.7903468322753895,0.0,1,7.7903468322753895,0.0,15.990038654095628
14,49.66366,52.608,-2.9443418579101532,2.9443418579101532,0.0,0,2.9443418579101532,0.0,5.596756877110237
15,59.443367,54.0,5.443367004394531,5.443367004394531,0.0,1,5.443367004394531,0.0,10.080309267397281
16,67.84924,55.464,12.385243164062501,12.385243164062501,0.0,1,12.385243164062501,0.0,22.330237927416885
17,73.09365,60.672,12.421650817871097,12.421650817871097,0.0,1,12.421650817871097,0.0,20.473448737261172
18,75.01546,60.384,14.631457153320312,14.631457153320312,0.0,1,14.631457153320312,0.0,24.23068553477794
19,75.29659,61.056,14.240592712402346,14.240592712402346,0.0,1,14.240592712402346,0.0,23.32382192151852
20,75.2023,59.964,15.238301025390626,15.238301025390626,0.0,1,15.238301025390626,0.0,25.412415825146134
21,74.58154,67.536,7.045542968749999,7.045542968749999,0.0,1,7.045542968749999,0.0,10.432277553823145
22,73.093056,63.516,9.577055725097658,9.577055725097658,0.0,1,9.577055725097658,0.0,15.078178293812044
