yval,predicciones,error
11.532,12.516222,0.9842220001220703
11.016,12.309379,1.2933786239624023
11.652,12.3376465,0.6856464843750008
11.424,12.136151,0.7121513137817388
11.388,12.2830515,0.8950514907836915
10.908,11.89539,0.9873895568847662
11.328,11.912962,0.5849619598388678
12.468,11.767404,-0.7005963973999023
12.468,11.513711,-0.9542890243530273
10.62,11.421882,0.8018816757202156
9.48,11.22042,1.740419883728027
10.056,11.252819,1.1968190612792977
9.66,10.770703,1.1107033157348631
11.748,10.472091,-1.2759092788696282
15.396,10.942186,-4.4538136444091805
14.628,10.797647,-3.830352523803711
16.368,10.671009,-5.696990936279295
18.144,10.8810425,-7.262957519531248
19.644,10.571708,-9.072292274475096
20.556,10.229862,-10.326137786865235
19.284,10.375859,-8.908140739440917
20.268,10.333267,-9.934732788085938
21.096,10.483663,-10.612337394714356
21.096,10.183868,-10.912131591796875
11.016,12.3694725,1.3534725036621094
11.652,12.12605,0.47404999542236403
11.424,12.187238,0.7632377395629888
11.388,12.006427,0.6184268112182618
10.908,12.09739,1.1893901748657232
11.328,11.741077,0.4130774230957037
12.468,11.748012,-0.719988410949707
12.468,11.598492,-0.8695083312988281
10.62,11.39399,0.773989562988282
9.48,11.282836,1.8028359603881832
10.056,11.108686,1.0526864471435555
9.66,11.066185,1.4061849975585936
11.748,10.654192,-1.093808029174804
15.396,10.342667,-5.053333374023438
14.628,10.845156,-3.7828442840576173
16.368,10.694891,-5.67310902404785
18.144,10.568576,-7.575424140930174
19.644,10.787565,-8.856434768676756
20.556,10.5767975,-9.979202514648438
19.284,10.188876,-9.095123847961425
20.268,10.350209,-9.917790763854981
21.096,10.288342,-10.807657524108887
21.096,10.409118,-10.686882301330566
14.472,10.170376,-4.30162417602539
11.652,11.968974,0.3169741134643562
11.424,11.6887455,0.2647454986572271
11.388,11.775711,0.3877110595703126
10.908,11.614576,0.7065763397216802
11.328,11.671048,0.3430481643676764
12.468,11.350876,-1.1171241455078125
12.468,11.352756,-1.1152444534301758
10.62,11.219822,0.5998219299316414
9.48,11.082131,1.6021313858032222
10.056,10.978822,0.9228217544555672
9.66,10.829,1.1690004730224608
11.748,10.713473,-1.0345266799926751
15.396,10.396196,-4.9998036346435555
14.628,10.085665,-4.542335250854492
16.368,10.622264,-5.745736091613768
18.144,10.4870825,-7.656917518615721
19.644,10.363269,-9.280731147766112
20.556,10.60279,-9.953210121154786
19.284,10.538687,-8.745313247680663
20.268,10.1388235,-10.129176490783692
21.096,10.2896385,-10.80636148071289
21.096,10.249219,-10.846781059265137
14.472,10.3113365,-4.160663482666015
11.268,10.194995,-1.073005073547364
11.424,11.590962,0.16696240997314504
11.388,11.084735,-0.3032650833129882
10.908,11.187009,0.2790088577270513
11.328,11.2388525,-0.08914749908447206
12.468,11.277666,-1.1903339080810547
12.468,10.724424,-1.7435756378173828
10.62,10.70807,0.08806980133056719
9.48,10.802103,1.3221030426025386
10.056,10.807943,0.7519433441162118
9.66,10.703344,1.0433443450927733
11.748,10.41538,-1.3326204757690423
15.396,10.3406725,-5.055327507019044
14.628,10.135288,-4.4927117614746095
16.368,9.885719,-6.482280700683592
18.144,10.357996,-7.786004013061522
19.644,10.498334,-9.14566606903076
20.556,10.033515,-10.522485023498536
19.284,10.317427,-8.966573318481444
20.268,10.546766,-9.721233718872071
21.096,10.246861,-10.849138542175293
21.096,10.271559,-10.82444123840332
14.472,10.39704,-4.074959632873535
11.268,10.483722,-0.784278266906739
11.556,10.551963,-1.0040371475219718
11.388,11.456478,0.06847811889648447
10.908,10.938937,0.030937187194824745
11.328,11.02345,-0.3045501022338861
12.468,11.086487,-1.38151318359375
12.468,11.161427,-1.3065734558105468
10.62,10.565535,-0.05446540832519453
9.48,10.544545,1.064545173645019
10.056,10.676545,0.6205451431274422
9.66,10.674544,1.014544334411621
11.748,10.5894785,-1.158521507263183
15.396,10.25701,-5.1389895401000985
14.628,10.252476,-4.3755242614746095
16.368,10.018998,-6.34900185394287
18.144,9.7919035,-8.352096504211424
19.644,10.257063,-9.386937088012694
20.556,10.425095,-10.130905395507813
19.284,9.930472,-9.353527626037597
20.268,10.227827,-10.040172927856446
21.096,10.417106,-10.678894325256348
21.096,10.19178,-10.904219909667969
14.472,10.195365,-4.276635047912597
11.268,10.367511,-0.900489204406739
11.556,10.503409,-1.0525906143188468
10.704,10.551801,-0.15219927215576234
10.908,11.409133,0.5011329574584966
11.328,10.851011,-0.4769887237548822
12.468,10.960313,-1.507687156677246
12.468,11.043369,-1.4246307067871093
10.62,11.078067,0.4580668258667
9.48,10.486294,1.006293792724609
10.056,10.460073,0.4040734710693368
9.66,10.588306,0.928306427001953
11.748,10.622096,-1.1259039382934564
15.396,10.523039,-4.872961135864259
14.628,10.197306,-4.430694320678711
16.368,10.156453,-6.211546867370604
18.144,9.955409,-8.188590950012205
19.644,9.721701,-9.922299331665037
20.556,10.193488,-10.362511878967286
19.284,10.356416,-8.927584251403808
20.268,9.848258,-10.419741981506348
21.096,10.1582575,-10.937742515563965
21.096,10.393926,-10.702074333190918
14.472,10.157676,-4.314324256896972
11.268,10.154428,-1.113572471618653
11.556,10.326131,-1.2298691329956046
10.704,10.474265,-0.22973490142822328
11.784,10.53794,-1.2460599746704109
11.328,11.103494,-0.22450630950927675
12.468,10.637733,-1.8302665405273437
12.468,10.708759,-1.7592406921386718
10.62,10.736158,0.11615837097168047
9.48,10.793999,1.3139987182617183
10.056,10.277607,0.22160696411132896
9.66,10.258225,0.5982254409790038
11.748,10.357174,-1.390826080322265
15.396,10.395489,-5.000511260986329
14.628,10.315638,-4.3123624114990236
16.368,10.050342,-6.317658393859862
18.144,9.976857,-8.167142814636229
19.644,9.810582,-9.833417839050291
20.556,9.57312,-10.982879882812501
19.284,10.023813,-9.260186752319335
20.268,10.150276,-10.11772381591797
21.096,9.7533455,-11.342654510498047
21.096,10.031339,-11.064661308288574
14.472,10.293432,-4.178567764282226
11.268,10.079014,-1.18898617553711
11.556,10.073112,-1.4828884658813468
10.704,10.251462,-0.45253801727294984
11.784,10.334265,-1.4497352447509773
10.98,10.455203,-0.5247969436645512
12.468,11.165469,-1.3025308303833008
12.468,10.64648,-1.821520393371582
10.62,10.753105,0.13310516357421953
9.48,10.816779,1.3367791366577144
